0.000000000	silence
0.046439909	a, intro, (guitar
1.547210884	A, b
4.435873015	a
7.338979591	b
10.091859410	a
13.002902494	c, guitar)
15.816893424	B, b, verse, (vocal
18.851473922	a
21.625374149	b
24.573560090	a
27.391315192	e
33.215963718	e
38.903786848	B, b, verse
41.932063492	a
44.904217687	b
47.886099773	a
50.727437641	e
56.607845804	e
62.497891156	C, f, chorus
65.171836734	f
68.283718820	g, vocal)
71.434263038	b, interlude, (guitar
74.282857142	a, guitar)
77.071405895	D, e, verse, (vocal
82.647755102	e
88.567392290	e
94.447891156	e', vocal)
100.191473922	B, b, interlude, (guitar
103.150884353	a
105.863469387	b
108.862834467	a
111.623764172	e
117.378185941	e, guitar)
123.247981859	B, b, verse, (vocal
126.148775510	a
129.039727891	b
131.997777777	a
134.895283446	e
140.703718820	e
146.543219954	C, f, chorus
149.520068027	f
152.365986394	f
155.238412698	g, vocal)
158.223424036	A, b, (guitar
161.197732426	a
164.143424036	b
167.139682539	a, (vocal
169.823446712	A, b', outro
172.740589569	a'
175.495396825	b'
178.455056689	a', vocal)
181.287369614	h, guitar)
188.873628117	Z
230.969342403	silence
230.984761904	end
