0.0	Silence
2.541791383	a
11.140430839	a
19.627573696	a
28.042222222	a
36.498163265	a
44.934829931	a
53.38446712	a
61.800204081	a'
70.198435374	a'
78.829365079	a'
87.364126984	a'
95.906825396	a
104.419455782	a
113.022766439	a
121.64324263	a
130.28292517	a'
138.88600907	a'
147.480272108	a'
156.145034013	a''
164.744036281	a''
173.900362811	a''
182.506394557	a'
191.098390022	a'
200.11802721	a
208.955328798	a
217.705396825	a
226.187823129	a'
234.507777777	a'
243.841360544	a'
252.315532879	a'
261.147414965	a
270.259909297	a
279.128730158	a
287.937460317	a
296.851269841	a'
305.626734693	a'
321.72324263	End
