0.0	Silence
0.023219954	Intro
3.177891156	Chorus
13.983582766	Chorus
23.493514739	Chorus
32.38893424	Chorus
40.936780045	Chorus
49.286802721	Interlude
60.09324263	Chorus
67.860748299	Chorus
75.244739229	Interlude
93.390657596	Chorus
100.271315192	Chorus
113.615238095	Solo
196.231836734	Verse
212.439365079	Verse
227.810566893	Verse
235.636099773	Solo
243.364240362	Verse
258.321995464	Solo
296.129478458	Verse
303.279909297	Verse
310.172154195	Verse
323.613197278	Verse
335.879274376	Solo
347.583582766	Solo
358.934058956	Solo
371.397052154	Verse
376.734716553	Verse
387.219614512	Verse
397.025079365	Verse
406.581337868	Verse
415.896870748	Solo
425.228594104	Solo
435.699229024	Solo
451.738888888	Verse
456.321587301	Verse
465.195442176	Verse
473.843356009	Verse
478.203174603	Verse
482.438480725	Verse
490.935328798	Verse
499.453605442	Solo
518.719433106	Solo
534.477800453	Verse
538.719115646	Verse
547.047437641	Verse
555.074535147	Verse
563.037460317	Solo
573.39356009	Solo
590.065487528	Verse
594.198639455	Verse
602.279183673	Verse
610.127528344	Verse
618.022312925	Verse
626.009977324	Verse
634.090521541	Solo
642.315804988	Solo
650.486916099	Solo
662.720725623	Verse
666.830657596	Verse
674.957641723	Verse
682.991746031	Verse
690.97941043	Verse
699.106394557	Solo
709.261836734	Solo
718.518276643	Solo
725.577142857	Verse
729.617414965	Verse
737.651519274	Verse
745.639183673	Verse
753.580408163	Verse
761.475192743	Verse
769.323537414	Verse
789.028571428	End
