0.000000000	silence
0.487619047	N, intro, (synth)
8.626054421	X, (spoken voice)
44.071473922	E, (flute
47.346938775	=, flute)
50.763922902	A, verse, (vocal
53.991836734	X
57.260113378	A, verse
60.616167800	X
63.870634920	A, verse
67.173151927	X
70.481632653	B, pre-chorus
73.744557823	X
76.995918367	X
81.926530612	C, chorus
88.506122448	C, chorus
95.118367346	A, verse
98.353673469	X
101.648979591	A, verse
104.984217687	X
108.208185941	A, verse
111.480997732	X
114.786190476	B, pre-chorus
118.126281179	X
121.371428571	X, vocal)
126.293333333	D, break, (percussion)
132.887800453	A, verse, (vocal
136.252834467	X
139.543242630	A, verse
142.797233560	X
147.648866213	A, verse
150.968639455	X
154.253061224	A, verse
157.583673469	X
160.881632653	B, pre-chorus
164.162380952	X
172.391836734	X
178.907528344	C, chorus
185.515351473	C, chorus, vocal)
192.097732426	E, outro, (flute
195.395918367	=
198.726530612	=, flute)
204.408163265	silence
208.284739229	end
