0.0	Silence
1.834376417	a
9.537596371	a
17.204489795	a
24.890272108	a
32.690294784	a
40.490544217	a
48.202448979	b
55.874512471	b
63.536031746	b
71.176303854	b
78.819274376	a
86.487777777	a
94.144104308	a
101.713832199	a
109.312312925	b
116.816235827	b
124.248390022	b
131.864149659	b
139.400045351	a
146.952267573	a
154.536462585	a
162.096213151	a
172.097029478	c
179.128412698	c
186.599659863	c
192.31095238	a
199.93526077	a
207.390907029	a
214.912585034	a
222.295600907	a
229.716122448	a
237.194897959	a
244.679002267	a
252.1792517	d
259.634920634	d
267.065170068	a
274.51909297	a
281.77154195	a
289.316258503	a'
302.531179138	e
309.946258503	e
317.394013605	e
324.77170068	e
332.06723356	e
339.490136054	e
346.849931972	e
354.283356009	e
361.736961451	e
369.237006802	e
376.66739229	e
384.097777777	e
391.365623582	e
398.842448979	e
406.226394557	e
413.63356009	e
420.92462585	a
428.633650793	a
436.180136054	a
443.610521541	a
450.94802721	b
458.401632653	b
465.808798185	b
473.215963718	b
480.623129251	a
488.007074829	a
495.460680272	b
502.937505668	b
510.321451247	a
517.72861678	a
525.112562358	a
532.450068027	a
539.741133786	a
547.078639455	a
554.34648526	a
561.753650793	a
576.730521541	e'
584.300226757	e'
591.544852607	e'
599.091337868	e'
606.428843537	e'
613.696689342	e'
620.755555555	e'
678.672834467	Silence
678.791836734	End
